industry_code_x,industry_code_y,dem_corr,edge_tuple,edge_tuple_rev
"Exports of '09 - Coffee, tea, mate and spices'",Wages of ''Extracao de petroleo e gas natural' in 'All occupations'',0.217643124737,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Wages of ''Extracao de petroleo e gas natural' in 'All occupations''"")","(""Wages of ''Extracao de petroleo e gas natural' in 'All occupations''"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'","Exports of '94 - Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings'",0.195457338582,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Exports of '94 - Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings'"")","(""Exports of '94 - Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings'"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'","Exports of '71 - Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin'",0.190694096912,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Exports of '71 - Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin'"")","(""Exports of '71 - Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin'"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'","Wages of ''Preparacao de couros e fabricacao de artefatos de couro, artigos para viagem e calcados' in 'All occupations''",0.188758802497,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Wages of ''Preparacao de couros e fabricacao de artefatos de couro, artigos para viagem e calcados' in 'All occupations''"")","(""Wages of ''Preparacao de couros e fabricacao de artefatos de couro, artigos para viagem e calcados' in 'All occupations''"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
"Exports of '09 - Coffee, tea, mate and spices'","Exports of '87 - Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof'",0.188067788928,"(""Exports of '09 - Coffee, tea, mate and spices'"", ""Exports of '87 - Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof'"")","(""Exports of '87 - Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof'"", ""Exports of '09 - Coffee, tea, mate and spices'"")"
Exports of '10 - Cereals',Exports of '10 - Cereals',1.40900639846,"(""Exports of '10 - Cereals'"", ""Exports of '10 - Cereals'"")","(""Exports of '10 - Cereals'"", ""Exports of '10 - Cereals'"")"
Exports of '10 - Cereals',Imports of '31 - Fertilizers',0.790780659845,"(""Exports of '10 - Cereals'"", ""Imports of '31 - Fertilizers'"")","(""Imports of '31 - Fertilizers'"", ""Exports of '10 - Cereals'"")"
Exports of '10 - Cereals',"Exports of '12 - Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder'",0.643449511617,"(""Exports of '10 - Cereals'"", ""Exports of '12 - Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder'"")","(""Exports of '12 - Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder'"", ""Exports of '10 - Cereals'"")"
Exports of '10 - Cereals',Exports of '02 - Meat and edible meat offal',0.550714592904,"(""Exports of '10 - Cereals'"", ""Exports of '02 - Meat and edible meat offal'"")","(""Exports of '02 - Meat and edible meat offal'"", ""Exports of '10 - Cereals'"")"
Exports of '10 - Cereals',"Exports of '23 - Food industries, residues and wastes thereof; prepared animal fodder'",0.474817755591,"(""Exports of '10 - Cereals'"", ""Exports of '23 - Food industries, residues and wastes thereof; prepared animal fodder'"")","(""Exports of '23 - Food industries, residues and wastes thereof; prepared animal fodder'"", ""Exports of '10 - Cereals'"")"
