CIIU ID S,CIIU ID D,CIIU ID CL,CIIU label CL
7,47,4773,"Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados"
7,47,4774,Comercio al por menor de otros productos nuevos en establecimientos especializados
7,47,4775,Comercio al por menor de artículos de segunda mano
7,47,4781,"Comercio al por menor de alimentos, bebidas y tabaco, en puestos de venta móviles"
7,47,4782,"Comercio al por menor de productos textiles, prendas de vestir y calzado, en puestos de venta móviles"
7,47,4789,Comercio al por menor de otros productos en puestos de venta móviles
7,47,4791,Comercio al por menor realizado a través de Internet
7,47,4792,Comercio al por menor realizado a través de casas de venta o por correo
7,47,4799,"Otros tipos de comercio al por menor no realizado en establecimientos, puestos de venta o mercados."
8,49,4911,Transporte férreo de pasajeros
8,49,4912,Transporte férreo de carga 
8,49,4921,Transporte de pasajeros
8,49,4922,Transporte mixto
8,49,4923,Transporte de carga por carretera
8,49,4930,Transporte por tuberías
8,50,5011,Transporte de pasajeros marítimo y de cabotaje 
8,50,5012,Transporte de carga marítimo y de cabotaje 
8,50,5021,Transporte fluvial de pasajeros
8,50,5022,Transporte fluvial de carga
8,51,5111,Transporte aéreo nacional de pasajeros 
8,51,5112,Transporte aéreo internacional de pasajeros 
8,51,5121,Transporte aéreo nacional de carga 
8,51,5122,Transporte aéreo internacional de carga 
8,52,5210,Almacenamiento y depósito
8,52,5221,"Actividades de estaciones, vías y servicios complementarios para el transporte terrestre"
8,52,5222,Actividades de puertos y servicios complementarios para el transporte acuático
8,52,5223,"Actividades de aeropuertos, servicios de navegación aérea y demás actividades conexas al transporte aéreo"
8,52,5224,Manipulación de carga
8,52,5229,Otras actividades complementarias al transporte
8,53,5310,Actividades postales nacionales
8,53,5320,Actividades de mensajería
9,55,5511,Alojamiento en hoteles 
9,55,5512,Alojamiento en apartahoteles
9,55,5513,Alojamiento en centros vacacionales 
9,55,5514,Alojamiento rural
9,55,5519,Otros tipos de alojamientos para visitantes
9,55,5520,Actividades de zonas de camping y parques para vehículos recreacionales
9,55,5530,Servicio por horas 
9,55,5590,Otros tipos de alojamiento n.c.p.
9,56,5611,Expendio a la mesa de comidas preparadas
9,56,5612,Expendio por autoservicio de comidas preparadas
9,56,5613,Expendio de comidas preparadas en cafeterías
9,56,5619,Otros tipos de expendio de comidas preparadas n.c.p.
9,56,5621,Catering para eventos
9,56,5629,Actividades de otros servicios de comidas
9,56,5630,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento
10,58,5811,Edición de libros
10,58,5812,Edición de directorios y listas de correo
10,58,5813,"Edición de periódicos, revistas y otras publicaciones periódicas"
10,58,5819,Otros trabajos de edición
10,58,5820,Edición de programas de informática (software)
10,59,5911,"Actividades de producción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión"
10,59,5912,"Actividades de posproducción de películas cinematográficas, videos, programas, anuncios y comerciales de televisión"
