CNAE ID CNG,CNAE label CNG,annual_avg_emplvl,CLAE 3,Descripción CLAE 3,annual_avg_emplvl
234,Fabricacao de produtos ceramicos,0.37,239,FABRICACIÓN DE PRODUCTOS MINERALES NO METÁLICOS NCP,0.75
239,Aparelhamento de pedras e fabricacao de outros produtos de minerais nao-metalicos,0.17,239,FABRICACIÓN DE PRODUCTOS MINERALES NO METÁLICOS NCP,0.75
241,Producao de ferro-gusa e de ferroligas,0.04,241,INDUSTRIAS BÁSICAS DE HIERRO Y ACERO,0.24
242,Siderurgia,0.18,241,INDUSTRIAS BÁSICAS DE HIERRO Y ACERO,0.24
243,"Producao de tubos de aco, exceto tubos sem costura",0.03,241,INDUSTRIAS BÁSICAS DE HIERRO Y ACERO,0.24
244,Metalurgia dos metais nao-ferrosos,0.1,242,FABRICACIÓN DE PRODUCTOS PRIMARIOS DE METALES PRECIOSOS Y METALES NO FERROSOS,0.03
245,Fundicao,0.15,243,FUNDICIÓN DE METALES,0.15
251,Fabricacao de estruturas metalicas e obras de caldeiraria pesada,0.32,251,"FABRICACIÓN DE PRODUCTOS METÁLICOS PARA USO ESTRUCTURAL, TANQUES, DEPÓSITOS Y GENERADORES DE VAPOR",0.65
252,"Fabricacao de tanques, reservatorios metalicos e caldeiras",0.03,251,"FABRICACIÓN DE PRODUCTOS METÁLICOS PARA USO ESTRUCTURAL, TANQUES, DEPÓSITOS Y GENERADORES DE VAPOR",0.65
253,"Forjaria, estamparia, metalurgia do po e servicos de tratamento de metais",0.21,259,FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL NCP; SERVICIOS DE TRABAJO DE METALES,1.47
254,"Fabricacao de artigos de cutelaria, de serralheria e ferramentas",0.15,259,FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL NCP; SERVICIOS DE TRABAJO DE METALES,1.47
255,"Fabricacao de equipamento belico pesado, armas de fogo e municoes",0.01,252,FABRICACIÓN DE ARMAS Y MUNICIONES,0.0
259,Fabricacao de produtos de metal nao especificados anteriormente,0.39,259,FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL NCP; SERVICIOS DE TRABAJO DE METALES,1.47
261,Fabricacao de componentes eletronicos,0.09,261,FABRICACIÓN DE COMPONENTES ELECTRÓNICOS,0.0
262,Fabricacao de equipamentos de informatica e perifericos,0.1,262,FABRICACIÓN DE EQUIPOS Y PRODUCTOS INFORMÁTICOS,0.03
263,Fabricacao de equipamentos de comunicacao,0.06,263,FABRICACIÓN DE EQUIPOS DE COMUNICACIONES Y TRANSMISORES DE RADIO Y TELEVISIÓN,0.02
264,"Fabricacao de aparelhos de recepcao, reproducao, gravacao e amplificacao de audio e video",0.04,264,"FABRICACIÓN DE RECEPTORES DE RADIO Y TELEVISIÓN, APARATOS DE GRABACIÓN Y REPRODUCCIÓN DE SONIDO Y VIDEO, Y PRODUCTOS CONEXOS",0.06
265,"Fabricacao de aparelhos e instrumentos de medida, teste e controle; cronometros e relogios",0.06,265,"FABRICACIÓN DE APARATOS E INSTRUMENTOS PARA MEDIR, VERIFICAR, ENSAYAR, NAVEGAR Y OTROS FINES, EXCEPTO INSTRUMENTOS DE ÓPTICA",0.04
266,Fabricacao de aparelhos eletromedicos e eletroterapeuticos e equipamentos de irradiacao,0.01,266,FABRICACIÓN DE EQUIPO MÉDICO Y QUIRÚRGICO Y DE APARATOS ORTOPÉDICOS,0.05
267,"Fabricacao de equipamentos e instrumentos opticos, fotograficos e cinematograficos",0.01,267,FABRICACIÓN DE INSTRUMENTOS DE ÓPTICA Y EQUIPO FOTOGRÁFICO,0.01
