,CIIU ID CI4,CLAE 3,Descripción CLAE 3,Ramas,Descripción,CNAE ID CNG,CNAE label CNG,CIIU label CI4,labour
622,1081.0,107.0,Elaboración De Productos Alimenticios Ncp,1541.0,Elaboración de productos de panadería,,,Elaboracion de productos de panaderia,
376,,107.0,Elaboración De Productos Alimenticios Ncp,1541.0,Elaboración de productos de panadería,,,,
623,1082.0,107.0,Elaboración De Productos Alimenticios Ncp,1543.0,Elaboración de cacao y chocolate y de productos de confitería,,,"Elaboracion de cacao, chocolate y productos de confiteria",
378,,107.0,Elaboración De Productos Alimenticios Ncp,1543.0,Elaboración de cacao y chocolate y de productos de confitería,,,,
624,1083.0,107.0,Elaboración De Productos Alimenticios Ncp,1544.0,Elaboración de pastas alimenticias,,,"Elaboracion de macarrones, fideos, alcuzcuz y productos farinaceos similares",
625,1084.0,107.0,Elaboración De Productos Alimenticios Ncp,1544.0,Elaboración de pastas alimenticias,,,Elaboracion de comidas y platos preparados,
379,,107.0,Elaboración De Productos Alimenticios Ncp,1544.0,Elaboración de pastas alimenticias,,,,
621,1090.0,108.0,Elaboración De Alimentos Preparados Para Animales,1533.0,Elaboración de alimentos preparados para animales,,,Elaboracion de alimentos preparados para animales,
375,,108.0,Elaboración De Alimentos Preparados Para Animales,1533.0,Elaboración de alimentos preparados para animales,,,,
56,1101.0,110.0,Elaboración De Bebidas,1551.0,"Destilación, rectificación y mezcla de bebidas alcohólicas; producción de alcohol etílico",111.0,Fabricacao de bebidas alcoolicas,"Destilacion, rectificacion y mezcla de bebidas alcoholicas",0.04
381,,110.0,Elaboración De Bebidas,1551.0,"Destilación, rectificación y mezcla de bebidas alcohólicas; producción de alcohol etílico",111.0,Fabricacao de bebidas alcoolicas,,
57,1102.0,110.0,Elaboración De Bebidas,1552.0,Elaboración de vinos y otras bebidas fermentadas a partir de frutas ,111.0,Fabricacao de bebidas alcoolicas,Elaboracion de bebidas fermentadas no destiladas,0.2
382,,110.0,Elaboración De Bebidas,1552.0,Elaboración de vinos y otras bebidas fermentadas a partir de frutas ,111.0,Fabricacao de bebidas alcoolicas,,
58,1103.0,110.0,Elaboración De Bebidas,1553.0,"Elaboración de cerveza, bebidas malteadas y de malta",111.0,Fabricacao de bebidas alcoolicas,"Produccion de malta, elaboracion de cervezas y otras bebidas malteadas",0.04
383,,110.0,Elaboración De Bebidas,1553.0,"Elaboración de cerveza, bebidas malteadas y de malta",111.0,Fabricacao de bebidas alcoolicas,,
59,1104.0,110.0,Elaboración De Bebidas,1554.0,Elaboración de bebidas no alcohólicas; producción de aguas minerales,112.0,Fabricacao de bebidas nao-alcoolicas,"Elaboracion de bebidas no alcoholicas, produccion de aguas minerales y de otras aguas embotelladas",0.1
384,,110.0,Elaboración De Bebidas,1554.0,Elaboración de bebidas no alcohólicas; producción de aguas minerales,112.0,Fabricacao de bebidas nao-alcoolicas,,
60,1200.0,120.0,Elaboración De Productos De Tabaco,1600.0,Elaboración de productos de tabaco,121.0,Processamento industrial do fumo,Elaboracion de productos de tabaco,0.01
385,,120.0,Elaboración De Productos De Tabaco,1600.0,Elaboración de productos de tabaco,121.0,Processamento industrial do fumo,,
61,1200.0,120.0,Elaboración De Productos De Tabaco,1600.0,Elaboración de productos de tabaco,122.0,Fabricacao de produtos do fumo,Elaboracion de productos de tabaco,0.01
386,,120.0,Elaboración De Productos De Tabaco,1600.0,Elaboración de productos de tabaco,122.0,Fabricacao de produtos do fumo,,
62,1311.0,131.0,"Fabricación  De Hilados Y  Tejidos, Acabado De Productos Textiles",1711.0,Preparación e hilandería de fibras textiles; tejeduría de productos textiles,131.0,Preparacao e fiacao de fibras texteis,Preparacion e hilatura de fibras textiles,0.04
387,,131.0,"Fabricación  De Hilados Y  Tejidos, Acabado De Productos Textiles",1711.0,Preparación e hilandería de fibras textiles; tejeduría de productos textiles,131.0,Preparacao e fiacao de fibras texteis,,
63,1313.0,131.0,"Fabricación  De Hilados Y  Tejidos, Acabado De Productos Textiles",1712.0,Acabado de productos textiles,,,Acabado de productos textiles,0.02
388,,131.0,"Fabricación  De Hilados Y  Tejidos, Acabado De Productos Textiles",1712.0,Acabado de productos textiles,,,,
628,1312.0,131.0,"Fabricación  De Hilados Y  Tejidos, Acabado De Productos Textiles",1730.0,Fabricación de tejidos de punto y artículos de punto y ganchillo,,,Tejeduria de productos textiles,
64,1391.0,131.0,"Fabricación  De Hilados Y  Tejidos, Acabado De Productos Textiles",1730.0,Fabricación de tejidos de punto y artículos de punto y ganchillo,,,Fabricacion de tejidos de punto y ganchillo,0.03
65,1392.0,139.0,Fabricación De Productos Textiles Ncp,1721.0,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir",,,"Confeccion de articulos con materiales textiles, excepto prendas de vestir",0.11
