area_fips,industry_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages
02000,4236,21.0,238.4,11282135.8
02000,4237,29.4,410.8,16681946.0
02000,4238,88.4,986.6,48188100.6
02000,4239,13.2,36.4,1178197.0
02000,4241,14.6,216.8,9784553.2
02000,4242,14.2,169.6,6362500.2
02000,4243,1.4,0.0,0.0
02000,4244,202.6,1308.4,48634617.0
02000,4246,9.4,0.0,0.0
02000,4247,25.0,586.4,33362308.6
02000,4248,12.2,421.8,17398378.6
02000,4249,25.2,282.0,7818634.4
02000,4251,152.0,461.0,22104847.4
02000,4411,76.6,2683.4,118556395.0
02000,4412,83.2,700.6,21225494.6
02000,4413,119.4,1226.0,35177540.0
02000,4421,37.6,423.6,11965602.6
02000,4422,71.0,399.4,11594018.0
02000,4431,85.0,739.2,20337107.6
02000,4441,92.6,1424.4,46254085.2
02000,4442,19.0,73.0,1232122.6
02000,4451,163.4,5026.2,126218041.4
02000,4452,55.6,598.4,10840423.8
02000,4453,81.8,688.6,16352227.4
02000,4461,96.4,822.6,23913564.0
02000,4471,189.0,1784.6,36590967.2
02000,4481,123.0,1380.0,21092236.4
02000,4482,20.0,136.0,2259770.0
02000,4483,78.2,315.6,8170165.4
02000,4511,172.2,1462.0,23306965.4
02000,4512,61.8,447.8,6197295.8
02000,4521,13.8,3160.4,66118838.0
02000,4529,190.4,6715.8,160145279.2
02000,4531,42.4,197.8,2599494.0
02000,4532,234.6,1528.8,34242076.4
02000,4533,31.4,266.6,4319848.4
02000,4539,130.0,607.2,12602218.6
02000,4541,6.6,32.6,588936.0
02000,4542,8.8,140.4,4250445.8
02000,4543,98.0,861.2,30889794.6
02000,4811,95.6,4701.0,247651681.8
02000,4812,135.4,1703.8,63044106.0
02000,4821,0.8,0.0,0.0
02000,4831,30.6,583.4,38009928.6
02000,4832,17.6,189.0,8655543.4
02000,4841,72.0,1120.4,52853912.4
02000,4842,111.4,1814.4,73289156.2
02000,4851,6.0,40.8,745594.2
02000,4852,1.6,3.4,60017.0
02000,4853,26.8,127.4,2753492.4
02000,4854,23.6,976.2,19482558.4
02000,4855,1.8,4.8,82450.6
02000,4859,9.4,147.8,3244329.0
02000,4861,4.8,0.0,0.0
02000,4862,0.0,0.0,0.0
02000,4869,1.2,0.0,0.0
02000,4871,38.6,825.6,19460775.0
02000,4872,145.2,630.6,18720514.0
02000,4879,18.6,142.2,3982962.2
02000,4881,89.2,1947.8,110399513.6
02000,4882,1.0,0.0,0.0
02000,4883,67.0,829.6,43857368.8
02000,4884,32.4,251.0,6968042.0
02000,4885,34.4,457.6,16371747.6
02000,4889,5.6,12.2,247372.4
02000,4911,110.2,1978.0,92320535.0
02000,4921,56.2,1848.2,104203913.6
02000,4922,21.4,82.0,1704576.2
02000,4931,21.6,322.0,11426975.0
02000,5111,62.6,722.4,22090234.2
02000,5112,7.4,34.8,1613801.2
02000,5121,34.8,244.8,2730123.2
02000,5122,2.6,11.2,352507.8
02000,5151,31.4,0.0,0.0
02000,5152,0.8,0.0,0.0
02000,5161,2.2,7.6,313887.2
02000,5171,78.2,1374.8,82669566.4
02000,5172,13.4,129.0,6596111.8
02000,5173,16.2,453.8,25989823.6
02000,5174,2.8,0.0,0.0
02000,5175,24.2,437.2,23588841.2
02000,5179,7.0,284.4,21449638.8
02000,5181,9.8,53.4,1969930.8
02000,5182,20.8,161.4,6068018.8
02000,5191,12.8,43.8,1724815.2
02000,5221,199.8,3792.0,149405674.6
02000,5222,74.6,624.2,39550700.6
02000,5223,20.2,84.0,4615443.0
02000,5231,22.2,283.8,23864166.0
02000,5239,43.4,164.6,11538629.0
02000,5241,52.4,747.0,38180401.8
02000,5242,218.8,1153.0,54144754.8
02000,5251,8.0,58.4,2581822.4
02000,5259,124.0,1577.8,73768476.0
02000,5311,260.8,1673.4,51931052.0
02000,5312,130.8,737.8,24254231.6
02000,5313,106.8,951.8,33295772.0
02000,5321,62.6,605.4,13627020.6
02000,5322,71.8,715.0,11698590.6
02000,5323,10.0,18.0,548467.6
02000,5324,32.2,339.2,17281855.4
02000,5331,1.25,0.0,0.0
02000,5411,378.4,1601.8,71710341.4
02000,5412,273.4,1266.2,48535265.8
02000,5413,402.4,5061.8,308663780.0
02000,5414,22.6,50.4,1558774.4
02000,5415,151.6,946.4,54661803.6
02000,5416,185.8,1034.0,56406800.0
02000,5417,88.2,543.6,21969830.8
02000,5418,73.2,434.8,11751198.0
02000,5419,155.0,1314.8,52766762.4
02000,5511,68.8,1574.6,88271804.4
02000,5611,36.4,346.4,19127455.4
02000,5612,39.8,1954.0,74806700.6
02000,5613,141.6,1414.2,38483808.0
02000,5614,96.6,540.4,15283251.6
02000,5615,101.0,912.0,23835707.0
02000,5616,68.2,1562.2,55990203.6
02000,5617,348.0,2668.0,53258414.6
02000,5619,87.2,443.0,9121869.4
02000,5621,20.0,123.0,4305715.2
02000,5622,18.2,190.4,8364074.6
02000,5629,80.6,729.4,42187663.8
02000,6111,185.8,20621.2,768548329.6
02000,6112,1.2,0.0,0.0
02000,6113,70.8,3769.0,135618327.8
02000,6114,15.0,30.4,653812.8
02000,6115,34.4,387.6,17184896.6
02000,6116,88.8,587.2,10251722.4
02000,6117,12.6,129.4,4009671.6
02000,6211,398.8,5187.4,239096821.6
02000,6212,287.0,2016.2,66439072.8
02000,6213,301.0,1718.6,54128731.2
02000,6214,56.0,2573.4,111572958.8
02000,6215,24.4,155.2,7126299.2
02000,6216,26.4,1266.2,27116492.6
02000,6219,25.8,332.6,12224872.6
02000,6221,21.4,3862.4,185542742.8
02000,6222,0.6,0.0,0.0
02000,6223,1.0,0.0,0.0
02000,6231,2.2,29.0,856375.0
02000,6232,28.4,1251.4,35163051.8
02000,6233,78.4,914.2,20272754.2
02000,6239,16.6,43.4,1252256.8
02000,6241,165.4,3410.4,83563767.6
02000,6242,60.2,793.0,18355856.2
02000,6243,40.2,1914.4,41509168.4
02000,6244,161.6,1559.0,25157258.4
02000,7111,21.4,218.4,4390010.6
02000,7112,15.6,91.6,2296198.2
02000,7113,7.6,24.6,614529.8
02000,7114,0.6,0.0,0.0
02000,7115,23.0,38.8,727879.0
02000,7121,55.0,1125.4,47323174.4
02000,7131,5.0,45.0,701592.4
02000,7132,77.4,290.0,4042306.8
02000,7139,297.2,3122.6,42535993.2
02000,7211,325.0,7056.4,142497258.8
02000,7212,197.2,383.4,9772384.0
02000,7213,10.0,125.8,3735752.8
02000,7221,463.0,7381.2,117295406.2
02000,7222,570.2,7080.2,86607666.8
02000,7223,63.0,2104.6,59338291.0
02000,7224,197.8,1864.0,26974723.2
02000,8111,313.6,1784.8,56354501.0
02000,8112,35.8,55.8,2068300.2
