1,custom_id3,CLAE 3,Descripción CLAE 3,CLAE ID 2,Ramas,Descripción,letra,clanae,sector,dpe,dígitos,sector.1,CIIU ID CI4,CIIU label CI4,CIIU ID CI2,CIIU ID CI1,CIIU ID CI0
64.0,12.0,12.0,Cultivos Perennes,1.0,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,A,114,114,011.39,4,Cultivo de frutas n.c.p.,130.0,"Propagacion de plantas (actividades de los viveros, excepto viveros forestales) ",1.0,1.0,0.0
65.0,12.0,12.0,Cultivos Perennes,1.0,114.0,"Cultivos industriales, de especias y de plantas aromáticas y medicinales",A,115,11.5,011.4,4,"Cultivos industriales, de especias y de plantas aromáticas y medicinales.",128.0,Cultivo de especias y de plantas aromaticas y medicinales ,1.0,1.0,0.0
66.0,12.0,12.0,Cultivos Perennes,1.0,114.0,"Cultivos industriales, de especias y de plantas aromáticas y medicinales",A,1151,11.51,011.41,5,Cultivo de plantas para la obtención de fibras.,129.0,Otros cultivos permanentes n.c.p.,1.0,1.0,0.0
67.0,12.0,12.0,Cultivos Perennes,1.0,114.0,"Cultivos industriales, de especias y de plantas aromáticas y medicinales",A,12,12,011.42,5,Cultivo de plantas sacaríferas.,,,,,
68.0,12.0,12.0,Cultivos Perennes,1.0,114.0,"Cultivos industriales, de especias y de plantas aromáticas y medicinales",A,121,121,011.43,4,Cultivo de vid para vinificar.,,,,,
69.0,12.0,12.0,Cultivos Perennes,1.0,114.0,"Cultivos industriales, de especias y de plantas aromáticas y medicinales",A,1211,1211,011.44,5,Cultivo de plantas para preparar infusiones.,127.0,Cultivo de plantas con las que se preparan bebidas,1.0,1.0,0.0
70.0,12.0,12.0,Cultivos Perennes,1.0,114.0,"Cultivos industriales, de especias y de plantas aromáticas y medicinales",A,1212,1212,011.45,5,Cultivo de tabaco.,114.0,Cultivo de tabaco ,1.0,1.0,0.0
71.0,12.0,12.0,Cultivos Perennes,1.0,114.0,"Cultivos industriales, de especias y de plantas aromáticas y medicinales",A,1213,1213,011.46,5,Cultivo de especias y de plantas aromáticas y medicinales.,115.0,Cultivo de plantas textiles ,1.0,1.0,0.0
72.0,12.0,12.0,Cultivos Perennes,1.0,114.0,"Cultivos industriales, de especias y de plantas aromáticas y medicinales",A,1214,1214,011.47,5,Cultivo de frutas oleaginosas.,119.0,Otros cultivos transitorios n.c.p.,1.0,1.0,0.0
73.0,12.0,12.0,Cultivos Perennes,1.0,114.0,"Cultivos industriales, de especias y de plantas aromáticas y medicinales",A,1215,1215,011.49,5,Cultivos industriales n.c.p.,,,,,
74.0,13.0,13.0,Producción De Semillas Y De Otras Formas De Propagación De Cultivos Agrícolas,1.0,115.0,Producción de semillas y otras formas de propagación de cultivos agrícolas,A,1216,1216,011.5,4,Producción de semillas y otras formas de propagación de cultivos agrícolas.,164.0,Tratamiento de semillas para propagacion ,1.0,1.0,0.0
75.0,13.0,13.0,Producción De Semillas Y De Otras Formas De Propagación De Cultivos Agrícolas,1.0,115.0,Producción de semillas y otras formas de propagación de cultivos agrícolas,A,1217,1217,011.51,5,Producción de semillas.,,,,,
76.0,13.0,13.0,Producción De Semillas Y De Otras Formas De Propagación De Cultivos Agrícolas,1.0,115.0,Producción de semillas y otras formas de propagación de cultivos agrícolas,A,1218,1218,011.52,5,Producción de otras formas de propagación de cultivos agrícolas.,,,,,
77.0,13.0,13.0,Producción De Semillas Y De Otras Formas De Propagación De Cultivos Agrícolas,1.0,115.0,Producción de semillas y otras formas de propagación de cultivos agrícolas,A,122,122,011.53,4,Servicio de procesamiento de semillas para su siembra.,,,,,
78.0,14.0,14.0,Cría De Animales,1.0,,,A,1221,1221,12,3,Cría de animales.,,,,,
79.0,14.0,14.0,Cría De Animales,1.0,121.0,"Cría de ganado y producción de leche , lana y pelos",A,1222,1222,012.1,4,"Cría de ganado y producción de leche, lana y pelos.",,,,,
80.0,14.0,14.0,Cría De Animales,1.0,121.0,"Cría de ganado y producción de leche , lana y pelos",A,1223,1223,012.11,5,Cría de ganado bovino -excepto la realizada en cabañas y para la producción de leche-.,141.0,Cria de ganado bovino y bufalino,1.0,1.0,0.0
81.0,14.0,14.0,Cría De Animales,1.0,121.0,"Cría de ganado y producción de leche , lana y pelos",A,1224,1224,012.12,5,Cría de ganado ovino -excepto la realizada en cabañas y para la producción de lana-.,143.0,Cria de ovejas y cabras ,1.0,1.0,0.0
82.0,14.0,14.0,Cría De Animales,1.0,121.0,"Cría de ganado y producción de leche , lana y pelos",A,1229,1229,012.13,5,Cría de ganado porcino -excepto la realizada en cabañas-.,144.0,Cria de ganado porcino,1.0,1.0,0.0
83.0,14.0,14.0,Cría De Animales,1.0,121.0,"Cría de ganado y producción de leche , lana y pelos",A,14,14,012.14,5,Cría de ganado equino -excepto la realizada en haras-.,142.0,Cria de caballos y otros equinos ,1.0,1.0,0.0
84.0,14.0,14.0,Cría De Animales,1.0,121.0,"Cría de ganado y producción de leche , lana y pelos",A,141,141,012.15,5,Cría de ganado caprino -excepto la realizada en cabañas y para la producción de leche-.,,,,,
