c20738,"Fabricacao de impermeabilizantes, solventes e produtos afins",,
c20916,Fabricacao de adesivos e selantes,,
c20924,Fabricacao de explosivos,,
c20932,Fabricacao de aditivos de uso industrial,,
c20941,Fabricacao de catalisadores,,
c20991,Fabricacao de produtos quimicos nao especificados anteriormente,,
c21106,Fabricacao de produtos farmoquimicos,,
c21211,Fabricacao de medicamentos para uso humano,,
c21220,Fabricacao de medicamentos para uso veterinario,,
c21238,Fabricacao de preparacoes farmaceuticas,,
c22111,Fabricacao de pneumaticos e de camaras-de-ar,,
c22129,Reforma de pneumaticos usados,,
c22196,Fabricacao de artefatos de borracha nao especificados anteriormente,,
c22218,Fabricacao de laminados planos e tubulares de material plastico,,
c22226,Fabricacao de embalagens de material plastico,,
c22234,Fabricacao de tubos e acessorios de material plastico para uso na construcao,,
c22293,Fabricacao de artefatos de material plastico nao especificados anteriormente,,
c23117,Fabricacao de vidro plano e de seguranca,,
c23125,Fabricacao de embalagens de vidro,,
c23192,Fabricacao de artigos de vidro,,
c23206,Fabricacao de cimento,,
c23303,"Fabricacao de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",,
c23419,Fabricacao de produtos ceramicos refratarios,,
c23427,Fabricacao de produtos ceramicos nao-refratarios para uso estrutural na construcao,,
c23494,Fabricacao de produtos ceramicos nao-refratarios nao especificados anteriormente,,
c23915,Aparelhamento e outros trabalhos em pedras,,
c23923,Fabricacao de cal e gesso,,
c23991,Fabricacao de produtos de minerais nao-metalicos nao especificados anteriormente,,
c24113,Producao de ferro-gusa,,
c24121,Producao de ferroligas,,
c24211,Producao de semi-acabados de aco,,
c24229,Producao de laminados planos de aco,,
c24237,Producao de laminados longos de aco,,
c24245,"Producao de relaminados, trefilados e perfilados de aco",,
c24318,Producao de tubos de aco com costura,,
c24393,Producao de outros tubos de ferro e aco,,
c24415,Metalurgia do aluminio e suas ligas,,
c24423,Metalurgia dos metais preciosos,,
c24431,Metalurgia do cobre,,
c24491,Metalurgia dos metais nao-ferrosos e suas ligas nao especificados anteriormente,,
c24512,Fundicao de ferro e aco,,
c24521,Fundicao de metais nao-ferrosos e suas ligas,,
c25110,Fabricacao de estruturas metalicas,,
c25128,Fabricacao de esquadrias de metal,,
c25136,Fabricacao de obras de caldeiraria pesada,,
c25217,"Fabricacao de tanques, reservatorios metalicos e caldeiras para aquecimento central",,
c25225,"Fabricacao de caldeiras geradoras de vapor, exceto para aquecimento central e para veiculos",,
c25314,Producao de forjados de aco e de metais nao-ferrosos e suas ligas,,
