Year,Month,BRA ID,Exports,Imports,Export Weight,Import Weight,Product Diversity,Effective Product Diversity,Export Destination Diversity,Effective Export Destination Diversity,Nominal Export Growth (1 year),Nominal Import Growth (1 year),Nominal Export Growth (5 year),Nominal Import Growth (5 year),Economic Complexity,Year,Month,BRA ID,Exports,Imports,Export Weight,Import Weight,Product Diversity,Effective Product Diversity,Export Destination Diversity,Effective Export Destination Diversity,Nominal Export Growth (1 year),Nominal Import Growth (1 year),Nominal Export Growth (5 year),Nominal Import Growth (5 year),Economic Complexity
2016,0,2ce0000,,400.000,,66.000,0,,0,,,,,,,2016,0,2ce0000,,400.000,,66.000,0,,0,,,,,,
2016,0,2ce0002,,154070.000,,158899.000,0,,0,,,,,,,2016,0,2ce0002,,154070.000,,158899.000,0,,0,,,,,,
2016,0,2ce0100,5523049.000,4665230.000,5985269.000,2160429.000,10,2.421,16,6.819,,,,,,2016,0,2ce0100,5523049.000,4665230.000,5985269.000,2160429.000,10,2.421,16,6.819,,,,,
2016,0,2ce0101,23268136.000,3483714.000,30981735.000,2417302.000,9,1.893,18,4.352,,,,,,2016,0,2ce0101,23268136.000,3483714.000,30981735.000,2417302.000,9,1.893,18,4.352,,,,,
2016,0,2ce0102,250.000,,29.000,,1,1.000,1,1.000,,,,,,2016,0,2ce0102,250.000,,29.000,,1,1.000,1,1.000,,,,,
2016,0,2ce0103,,314247.000,,70696.000,0,,0,,,,,,,2016,0,2ce0103,,314247.000,,70696.000,0,,0,,,,,,
2016,0,2ce0200,90947255.000,228133229.000,73187591.000,395965069.000,172,17.906,93,17.901,,,,,,2016,0,2ce0200,90947255.000,228133229.000,73187591.000,395965069.000,172,17.906,93,17.901,,,,,
2016,0,2ce0201,8012362.000,12054756.000,916113.000,1839186.000,14,5.371,16,4.210,,,,,,2016,0,2ce0201,8012362.000,12054756.000,916113.000,1839186.000,14,5.371,16,4.210,,,,,
2016,0,2ce0301,4791380.000,1408937.000,177469.000,502371.000,5,1.641,7,3.661,,,,,,2016,0,2ce0301,4791380.000,1408937.000,177469.000,502371.000,5,1.641,7,3.661,,,,,
2016,0,2ce0303,7894075.000,1752109.000,1040683.000,473463.000,11,2.761,28,6.275,,,,,,2016,0,2ce0303,7894075.000,1752109.000,1040683.000,473463.000,11,2.761,28,6.275,,,,,
2016,0,2ce0305,308595.000,392069.000,578305.000,89101.000,2,1.335,2,1.335,,,,,,2016,0,2ce0305,308595.000,392069.000,578305.000,89101.000,2,1.335,2,1.335,,,,,
2016,0,2ce0306,37247964.000,5692525.000,4252817.000,33668061.000,25,1.214,78,35.530,,,,,,2016,0,2ce0306,37247964.000,5692525.000,4252817.000,33668061.000,25,1.214,78,35.530,,,,,
2016,0,2ce0400,1433392.000,230330009.000,1507572.000,1484224665.000,3,1.662,9,4.348,,,,,,2016,0,2ce0400,1433392.000,230330009.000,1507572.000,1484224665.000,3,1.662,9,4.348,,,,,
2016,0,2ce0401,,4885.000,,8956.000,0,,0,,,,,,,2016,0,2ce0401,,4885.000,,8956.000,0,,0,,,,,,
2016,0,2ce0402,304146.000,218777.000,21275.000,72180.000,1,1.000,1,1.000,,,,,,2016,0,2ce0402,304146.000,218777.000,21275.000,72180.000,1,1.000,1,1.000,,,,,
2016,0,2ce0403,34783626.000,3444625.000,5849164.000,1678257.000,8,1.378,24,7.195,,,,,,2016,0,2ce0403,34783626.000,3444625.000,5849164.000,1678257.000,8,1.378,24,7.195,,,,,
2016,0,2ce0405,7135506.000,2303426.000,5224575.000,917301.000,3,1.623,11,2.855,,,,,,2016,0,2ce0405,7135506.000,2303426.000,5224575.000,917301.000,3,1.623,11,2.855,,,,,
2016,0,2ce0406,,279313.000,,20663.000,0,,0,,,,,,,2016,0,2ce0406,,279313.000,,20663.000,0,,0,,,,,,
2016,0,2ce0407,17561301.000,1339579.000,585224.000,195782.000,5,2.047,34,5.229,,,,,,2016,0,2ce0407,17561301.000,1339579.000,585224.000,195782.000,5,2.047,34,5.229,,,,,
2016,0,2ce0502,2774892.000,370541.000,1472407.000,37127.000,8,4.160,19,6.220,,,,,,2016,0,2ce0502,2774892.000,370541.000,1472407.000,37127.000,8,4.160,19,6.220,,,,,
2016,0,2ce0503,346641.000,28730.000,25887.000,25555.000,3,2.149,5,3.428,,,,,,2016,0,2ce0503,346641.000,28730.000,25887.000,25555.000,3,2.149,5,3.428,,,,,
2016,0,2ce0601,,789976.000,,35669.000,0,,0,,,,,,,2016,0,2ce0601,,789976.000,,35669.000,0,,0,,,,,,
