"Year","IBGE ID","Location","Imports","Exports","Economic Complexity","Nominal Export Growth (1 year)","Nominal Export Growth (5 year)","Nominal Import Growth (1 year)","Nominal Import Growth (5 year)","Product Diversity","Effective Product Diversity","Export Destination Diversity","Effective Export Destination Diversity"
"2016","4309605","Horizontina - RS","USD 169M","USD 87.3M","0.258","0% ","0% ","0% ","0% ","58","1.476","23","3.747"
"2016","4319000","São Marcos - RS","USD 3.47M","USD 14.1M","0.252","0% ","0% ","0% ","0% ","55","5.891","40","15.47"
"2016","4207502","Indaial - SC","USD 19.9M","USD 35M","0.252","0% ","0% ","0% ","0% ","96","8.426","44","14.14"
"2016","3304904","São Gonçalo - RJ","USD 107M","USD 22.3M","0.236","0% ","0% ","0% ","0% ","50","8.249","35","12.36"
"2016","4306403","Dois Irmãos - RS","USD 11.6M","USD 69.2M","0.235","0% ","0% ","0% ","0% ","49","1.576","81","13.81"
"2016","3303500","Nova Iguaçu - RJ","USD 17.9M","USD 18.5M","0.234","0% ","0% ","0% ","0% ","61","7.0901","60","13.32"
"2016","4102307","Balsa Nova - PR","USD 13.1M","USD 27M","0.233","0% ","0% ","0% ","0% ","8","2.692","26","8.166"
"2016","2601706","Belo Jardim - PE","USD 77.5M","USD 42.7M","0.229","0% ","0% ","0% ","0% ","7","1.148","14","2.14"
"2016","3521101","Ipeúna - SP","USD 752k","USD 8.47M","0.228","0% ","0% ","0% ","0% ","87","6.175","30","6.818"
"2016","4309308","Guaíba - RS","USD 1.16B","USD 627M","0.222","0% ","0% ","0% ","0% ","78","1.346","55","10.9393"
"2016","3507001","Boituva - SP","USD 15.1M","USD 49.2M","0.221","0% ","0% ","0% ","0% ","73","4.0139","48","14.88"
"2016","4104303","Campo Mourão - PR","USD 22.2M","USD 57.7M","0.22","0% ","0% ","0% ","0% ","59","1.776","51","14.24"
"2016","4100400","Almirante Tamandaré - PR","USD 7.14M","USD 5.97M","0.212","0% ","0% ","0% ","0% ","25","4.481","21","4.258"
"2016","2602902","Cabo de Santo Agostinho - PE","USD 670M","USD 126M","0.202","0% ","0% ","0% ","0% ","33","8.903","61","8.351"
"2016","2704708","Marechal Deodoro - AL","USD 44.4M","USD 39.7M","0.199","0% ","0% ","0% ","0% ","7","1.36","34","3.0464"
"2016","4201703","Ascurra - SC","USD 337k","USD 1.39M","0.186","0% ","0% ","0% ","0% ","18","2.8","16","11.86"
"2016","4214805","Rio do Sul - SC","USD 14M","USD 97.7M","0.181","0% ","0% ","0% ","0% ","118","5.536","55","11.27"
"2016","3537305","Penápolis - SP","USD 8.85M","USD 93.7M","0.18","0% ","0% ","0% ","0% ","98","2.833","23","3.0487"
"2016","3151800","Poços de Caldas - MG","USD 293M","USD 241M","0.177","0% ","0% ","0% ","0% ","75","3.463","62","17.55"
"2016","4321204","Taquara - RS","USD 2.13M","USD 2.48M","0.173","0% ","0% ","0% ","0% ","52","12.49","27","12.01"
"2016","4312658","Não-Me-Toque - RS","USD 15.1M","USD 28.2M","0.172","0% ","0% ","0% ","0% ","101","6.413","35","11.73"
"2016","4314100","Passo Fundo - RS","USD 91.2M","USD 617M","0.165","0% ","0% ","0% ","0% ","138","3.597","96","6.83"
"2016","3136652","Juatuba - MG","USD 36M","USD 9.21M","0.16","0% ","0% ","0% ","0% ","20","3.767","15","6.323"
"2016","3540002","Pompéia - SP","USD 30.8M","USD 85.7M","0.16","0% ","0% ","0% ","0% ","146","4.024","89","23"
"2016","4322806","Veranópolis - RS","USD 12.7M","USD 33.7M","0.154","0% ","0% ","0% ","0% ","48","5.44","36","7.85"
"2016","3516705","Garça - SP","USD 2.9M","USD 11.7M","0.153","0% ","0% ","0% ","0% ","61","3.119","23","6.999"
"2016","4212809","Piçarras - SC","USD 49.3M","USD 32.8M","0.152","0% ","0% ","0% ","0% ","65","1.507","11","4.679"
"2016","4310603","Itaqui - RS","USD 11.2M","USD 8.85M","0.152","0% ","0% ","0% ","0% ","18","2.109","8","4.393"
"2016","3516853","Gavião Peixoto - SP","USD 158M","USD 143M","0.146","0% ","0% ","0% ","0% ","114","3.261","13","3.138"
"2016","5205109","Catalão - GO","USD 607M","USD 71.1M","0.138","0% ","0% ","0% ","0% ","53","6.301","34","14.04"
"2016","4310207","Ijuí - RS","USD 14.7M","USD 37.9M","0.136","0% ","0% ","0% ","0% ","36","1.773","23","2.878"
"2016","3534708","Ourinhos - SP","USD 80.7M","USD 12.5M","0.126","0% ","0% ","0% ","0% ","61","8.819","34","9.37"
"2016","3507506","Botucatu - SP","USD 25.6M","USD 177M","0.126","0% ","0% ","0% ","0% ","153","6.92","81","10.9869"
"2016","4107652","Fazenda Rio Grande - PR","USD 99.4M","USD 53.9M","0.123","0% ","0% ","0% ","0% ","51","4.133","41","7.747"
"2016","3530508","Mococa - SP","USD 410k","USD 15.4M","0.119","0% ","0% ","0% ","0% ","44","6.864","33","13.86"
"2016","3304110","Porto Real - RJ","USD 388M","USD 542M","0.118","0% ","0% ","0% ","0% ","39","1.315","18","1.202"
"2016","4104253","Campo Magro - PR","USD 1.02M","USD 5.72M","0.117","0% ","0% ","0% ","0% ","32","4.583","24","7.868"
"2016","4303103","Cachoeirinha - RS","USD 98.8M","USD 34M","0.116","0% ","0% ","0% ","0% ","201","34.66","58","13.34"
"2016","4124053","Santa Terezinha de Itaipu - PR","USD 39.5M","USD 8.09M","0.113","0% ","0% ","0% ","0% ","56","3.864","6","2.136"
"2016","4313409","Novo Hamburgo - RS","USD 75.9M","USD 128M","0.11","0% ","0% ","0% ","0% ","311","20.3498","98","25.24"
"2016","3527306","Louveira - SP","USD 421M","USD 22M","0.107","0% ","0% ","0% ","0% ","128","18.41","38","10.5948"
"2016","3536703","Pederneiras - SP","USD 75.1M","USD 202M","0.102","0% ","0% ","0% ","0% ","52","5.429","52","10.5822"
"2016","4218608","Trombudo Central - SC","USD 1.88M","USD 11.2M","0.101","0% ","0% ","0% ","0% ","7","2.522","16","3.492"
"2016","4202206","Benedito Novo - SC","USD 126k","USD 19.6M","0.0951","0% ","0% ","0% ","0% ","7","2.284","9","1.354"
"2016","4219507","Xanxerê - SC","USD 10.5M","USD 3.74M","0.0895","0% ","0% ","0% ","0% ","21","6.999","8","4.225"
"2016","4200200","Agrolândia - SC","USD 222k","USD 1.4M","0.089","0% ","0% ","0% ","0% ","25","6.0218","18","8.875"
"2016","5201405","Aparecida de Goiânia - GO","USD 313M","USD 48.5M","0.0886","0% ","0% ","0% ","0% ","48","3.289","35","5.9"
"2016","4109807","Ibiporã - PR","USD 207M","USD 18.6M","0.0883","0% ","0% ","0% ","0% ","43","9.159","65","7.671"
"2016","3552809","Taboão da Serra - SP","USD 452M","USD 44.3M","0.0866","0% ","0% ","0% ","0% ","159","14.81","47","13.57"
"2016","4309407","Guaporé - RS","USD 2.46M","USD 17M","0.0846","0% ","0% ","0% ","0% ","56","7.596","33","8.992"
"2016","4101002","Ampére - PR","USD 7.27M","USD 4.39M","0.0827","0% ","0% ","0% ","0% ","14","2.243","8","4.909"
"2016","3514908","Elias Fausto - SP","USD 6.03M","USD 8.08M","0.0814","0% ","0% ","0% ","0% ","17","4.345","25","6.259"
"2016","3550605","São Roque - SP","USD 39.8M","USD 11.2M","0.0785","0% ","0% ","0% ","0% ","43","8.18","31","9.464"
"2016","3306305","Volta Redonda - RJ","USD 339M","USD 84.7M","0.0782","0% ","0% ","0% ","0% ","11","1.418","31","12"
"2016","3530706","Mogi Guaçu - SP","USD 40.9M","USD 324M","0.0763","0% ","0% ","0% ","0% ","77","3.839","91","22.69"
"2016","3169406","Três Pontas - MG","USD 4.94M","USD 1.7M","0.0739","0% ","0% ","0% ","0% ","23","5.845","11","7.00942"
"2016","4204202","Chapecó - SC","USD 73.3M","USD 47M","0.0737","0% ","0% ","0% ","0% ","111","8.404","44","4.634"
"2016","4126603","Siqueira Campos - PR","USD 5.99M","USD 2.13M","0.0737","0% ","0% ","0% ","0% ","36","4.0916","15","6.302"
"2016","3522604","Itapira - SP","USD 66.7M","USD 211M","0.0732","0% ","0% ","0% ","0% ","90","4.484","65","11.35"
"2016","3301009","Campos Dos Goytacazes - RJ","USD 37.4M","USD 90.8M","0.0712","0% ","0% ","0% ","0% ","19","1.795","24","2.435"
"2016","3147105","Pará de Minas - MG","USD 13.6M","USD 31.1M","0.0704","0% ","0% ","0% ","0% ","9","1.621","29","8.767"
"2016","3522901","Itapuí - SP","USD 6.11M","USD 1.34M","0.0701","0% ","0% ","0% ","0% ","10","2.995","11","3.284"
"2016","3501905","Amparo - SP","USD 37.1M","USD 158M","0.0677","0% ","0% ","0% ","0% ","110","5.153","69","21.9"
"2016","3518305","Guararema - SP","USD 44.8M","USD 8.89M","0.0651","0% ","0% ","0% ","0% ","22","2.979","24","3.536"
"2016","4210506","Maravilha - SC","USD 6.85M","USD 3.42M","0.0629","0% ","0% ","0% ","0% ","28","3.784","16","6.904"
"2016","3303708","Paraíba do Sul - RJ","USD 8.35M","USD 4.07M","0.0604","0% ","0% ","0% ","0% ","8","1.831","32","6.58"
"2016","3522208","Itapecerica da Serra - SP","USD 165M","USD 9.44M","0.0597","0% ","0% ","0% ","0% ","34","5.126","29","5.939"
"2016","3503802","Artur Nogueira - SP","USD 14.2M","USD 16.7M","0.0585","0% ","0% ","0% ","0% ","45","6.173","30","9.492"
"2016","2606200","Goiana - PE","USD 906M","USD 325M","0.0575","0% ","0% ","0% ","0% ","30","2.57","25","2.442"
"2016","3515103","Embu-Guaçu - SP","USD 18.3M","USD 2.41M","0.0558","0% ","0% ","0% ","0% ","19","4.614","19","4.94"
"2016","4203907","Capinzal - SC","USD 234k","USD 7.6M","0.0551","0% ","0% ","0% ","0% ","17","2.443","10","7.762"
